"","Total","Middle","Bottom","All_series"
"basef",152.347598947551,91.7850997666102,57.6816641528146,80.94920787029
"ols_I",0,-0.976742246837398,-1.26426386908118,-0.8312093068227
"wlss_I",0,-0.948039294205518,-1.25284558126995,-0.817261389320446
"wlsv_I",0,-0.941007062985159,-1.21684680568532,-0.800325222144028
"sam_I",0,-0.727781995799365,-0.979431170827115,-0.634577753969129
"shrink_I",0,-0.800985692682569,-1.14730659339532,-0.726648455007401
"ols_iMinT",0,-0.976742246837413,-1.26426386908121,-0.831209306822718
"wlss_iMinT",0,-0.948039294205518,-1.25284558126994,-0.817261389320446
"wlsv_iMinT",0,-0.966762185102744,-1.22989515563817,-0.813981889910721
"sam_iMinT",0,-0.770366396764111,-1.03047229789446,-0.669156360366732
"shrink_iMinT",0,-0.837856366980877,-1.19349922401326,-0.757401827962569
