"","Total","State","Region","Purpose","State_Purpose","Region_Purpose","All_series"
"basef",3432.30154599981,271.899137747552,15.0036039955317,576.118523630923,54.3584307831407,3.34958479668267,26.7036595099259
"ols_I",1.35670272867035e-14,3.29268884962829,-5.48342137963741,-1.31351478225047,-2.46673020292981,-1.77786406698578,-0.76513015813848
"wlss_I",2.30639463873959e-13,4.33065257971324,-7.7320416554585,3.31615836793357,-3.87151374276287,-2.67912520468758,-0.150207229057192
"wlsv_I",4.07010818601105e-14,7.98415264518849,-3.02233423178306,3.58116028265058,-1.37771441973294,0.474368336265712,1.61684888870183
"shrink_I",2.30639463873959e-13,7.55257671767756,-6.02550513669002,-2.41496246764254,-2.24086160620029,-1.38246263153507,-0.263325498848286
"ols_iMinT",6.78351364335174e-14,3.29268884962846,-5.48342137963736,-1.31351478225049,-2.46673020292973,-1.77786406698571,-0.765130158138412
"wlss_iMinT",2.7134054573407e-14,3.191804157327,-7.63603812346168,3.31615836793353,-4.22754396154731,-2.65224875835766,-0.376729674589946
"wlsv_iMinT",8.14021637202209e-14,3.14005482413382,-8.14559712289878,6.55631032398248,-4.37739609859038,-2.95290330830602,0.173220305168849
"shrink_iMinT",-4.07010818601105e-14,2.84824393928193,-9.66710228204078,-1.33814190291805,-6.52832294937361,-4.33408779510078,-2.04762013845454
